Genus,P_Value,P_Adjusted,Log2FC,Is_Significant
Pseudoclavibacter,0.5927697389041817,0.6383674111275803,8.108065743345405,False
Salirhabdus,0.5919613483640378,0.6383674111275803,3.949560770049877,False
Kaistia,0.6068031963386857,0.6524125869131622,6.437783025518451,False
Nostoc PCC-8976,0.6254398698725856,0.6713530740231016,6.202022861900532,False
Methylibium,0.627919716570656,0.6729172206897258,7.635076034065674,False
Nitrolancea,0.6300204130035976,0.6740706207420605,0.6483933392343939,False
Klenkia,0.6434732234303623,0.6873463977551597,6.555860926287697,False
Crocinitomix,0.6447459982254188,0.687589735546719,6.145308156446239,False
Kineosporia,0.6609840717309452,0.703766212296055,7.594592851084822,False
Cystobacter,0.6656404360063607,0.7064377530519118,7.1669146079843795,False
Salinarimonas,0.6652831406275327,0.7064377530519118,6.137024431207402,False
Cnuella,0.6774207120001292,0.7177823325218761,6.519349575253243,False
Brachybacterium,0.6839086951417928,0.7234918350535363,7.463526743781022,False
Paraclostridium,0.6898776778587081,0.7286348507721188,5.970243558968178,False
Virgibacillus,0.6958621522705893,0.733777718259692,7.472457288408928,False
Niabella,0.7000450533785223,0.7358301040304596,6.1334360321551715,False
Methyloceanibacter,0.6996778519960776,0.7358301040304596,1.9196142746579692,False
Hymenobacter,0.7118886880396946,0.7470857364116731,6.402834378060108,False
Actinosynnema,0.713131022466537,0.7471977910557028,7.969244119660605,False
Sphingopyxis,0.7279963608111959,0.7615605809439855,-2.775457423646829,False
Rhodoplanes,0.7366863733528672,0.7674348695572802,-1.021390878227092,False
Cytophaga,0.7363950401909853,0.7674348695572802,6.954968025312588,False
Thermobacillus,0.7371106953802449,0.7674348695572802,6.686609843378696,False
Klebsiella,0.7421480862200611,0.7714588321213274,2.717803061935897,False
Amycolatopsis,0.7474024802761299,0.7756953186462042,2.9219980785266277,False
Plot4-2H12,0.7512336508551153,0.7784436886026234,-0.3841698590100118,False
Sphingomonas,0.8050391466708032,0.8328864127506109,-2.100581007243835,False
Longispora,0.813094813306219,0.8399001368218086,-0.5088151238624571,False
Diplosphaera,0.8151464605159141,0.8406996410963502,6.059417565901162,False
Nostoc PCC-7107,0.817753417503788,0.8416126915775785,3.6211336308549344,False
Nibribacter,0.8185898519903498,0.8416126915775785,7.109350489053166,False
Bauldia,0.8280508613016662,0.8500116485748773,-0.044545733915775786,False
Falsirhodobacter,0.8355713435553584,0.8563955514944328,7.860802690034683,False
Planifilum,0.8404163598426676,0.8586862807088126,7.610124273361188,False
Sphingobacterium,0.8397398100678675,0.8586862807088126,8.22103165686645,False
Chryseolinea,0.8417625238539462,0.858728280148677,6.012633460089318,False
Thermoactinomyces,0.8485989046172049,0.8643623517617969,7.31978388135355,False
Roseomonas,0.8719684890329413,0.8867933010566853,-1.8699098687455553,False
Rhizocola,0.8737774955517591,0.8872617161621257,1.6057252025329076,False
Pseudogracilibacillus,0.9327337875148268,0.9456684625342929,6.577915124044388,False
Pelagibius,0.9354509955201534,0.9469642385419399,-0.5192828178252464,False
Rubellimicrobium,0.9433165403493196,0.9534597289552261,-0.37594571500776375,False
Caldimonas,0.9452415794463978,0.9539401215885426,6.715232100383745,False
Ornithinibacillus,0.9568056037430339,0.9641318334807294,7.641517114888339,False
Gemmatirosa,0.9630764544971184,0.9689668303656023,6.237951139047926,False
Tepidimicrobium,0.9710998324476586,0.9740605026685356,6.282245080716824,False
Olivibacter,0.9701660136015676,0.9740605026685356,6.0558508563131905,False
Fontibacillus,0.9793174723906211,0.9808080621507286,6.820594896363267,False
Galbitalea,0.9841279250785795,0.9841279250785795,7.764426786234303,False
