Genus,P_Value,P_Adjusted,Log2FC,Is_Significant
E1B-B3-114,0.004083682549395283,0.007834003258023603,3.3741752691221674,True
Candidatus Ovatusbacter,0.0043991844627679026,0.00841471911773628,4.004335953125963,True
Planctopirus,0.004423427464761894,0.008436566005256017,3.7593777990767245,True
Sulfurifustis,0.004468168134866837,0.008497267724688956,3.666555408903113,True
Zavarzinella,0.004804839090584012,0.009111193434018098,0.12425185473816489,True
Xanthomonas,0.005020370948380447,0.009465341214998093,3.6733885561869286,True
Mariniflexile,0.005020370948380447,0.009465341214998093,3.6733885561869286,True
Pseudactinotalea,0.005060063819002291,0.009485817643599737,3.933646369143273,True
Edaphobaculum,0.005056959557760188,0.009485817643599737,7.503877642068037,True
Candidatus Nucleicultrix,0.005092365164095281,0.00951925078970084,3.663848989254373,True
Pseudomonas,0.005123464591089251,0.00952894540132708,6.981179618938349,True
Lacunisphaera,0.005126514699194205,0.00952894540132708,9.574144771751666,True
Limosilactobacillus,0.005497317029591732,0.0101893932548489,3.7705395850696237,True
Novosphingobium,0.005630940720040351,0.010381237659495932,-4.5129960640029445,True
Uliginosibacterium,0.005632373623769069,0.010381237659495932,3.669795944910635,True
Flavobacterium,0.005759027008666938,0.010585027295259343,12.82555609883103,True
Luedemannella,0.005798468865624879,0.010627834299668999,-3.4069359171991196,True
Glycomyces,0.00582684393204887,0.010650175853578213,8.838596503694081,True
Dyadobacter,0.005868531905439493,0.010696659262546223,11.737152280833708,True
Desmonostoc PCC-7422,0.006127175213609991,0.011137241134130867,10.553099119026564,True
Acaricomes,0.0062080632280240985,0.011253183482203463,3.964950390874463,True
Nesterenkonia,0.0062699398727899475,0.011334122077735674,4.051288020639598,True
Virgisporangium,0.006294667246028711,0.01134764670653943,-3.274654631823308,True
Parasegetibacter,0.006313322057214395,0.01135018009193189,7.31124451172309,True
Candidatus Solibacter,0.006481230356866481,0.011620298568986769,-4.0703285276358745,True
Siccirubricoccus,0.006521009907743558,0.011659849237215384,3.792207932104903,True
Candidatus Chloroploca,0.006696311481750141,0.01194084811650838,0.2050275878343991,True
Limibaculum,0.006743048287273764,0.011959368660447809,0.3020558965045683,True
Cereibacter,0.0067281076356180535,0.011959368660447809,3.944550476474589,True
Aquincola,0.0070166276601550176,0.012411131721456994,3.9177322595284663,True
Luteolibacter,0.007202946355908771,0.01270653807557097,10.754749867211842,True
Methylorosula,0.007307530678126224,0.012822280496552147,3.8270702011835587,True
Tsukamurella,0.007307530678126224,0.012822280496552147,3.8270702011835587,True
EcFYyy-200,0.00780941220283612,0.013666471354963211,3.7896303066756705,True
Ahniella,0.00790911517671946,0.013804238159897625,8.615008346466864,True
Pseudaminobacter,0.007973154861831007,0.013879195500224345,-1.1158828868039106,True
Marinilactibacillus,0.008311716567186588,0.014377041709556688,4.073510434965839,True
Sva0996 marine group,0.008301010127295361,0.014377041709556688,3.819290320801458,True
Aridibacter,0.008324700442767625,0.014377041709556688,-3.7224278700084388,True
Methylotenera,0.00862058126265139,0.0148490640597503,10.27394532220837,True
Bacteriovorax,0.00872682288004941,0.014992818420554862,4.040856002647285,True
Jeotgalibacillus,0.008975587387146367,0.015380042970683098,4.261195252526877,True
Salipaludibacillus,0.009132847753890842,0.015608867070286166,3.968872215329934,True
Pseudorhizobium,0.009487085163935857,0.016172285072201538,8.031670207236573,True
Flavihumibacter,0.009558582690017497,0.0162520604910375,3.4386281573627984,True
Variovorax,0.009935899528773415,0.016850056417352852,10.718357424279223,True
Frigoribacterium,0.010006983201669147,0.016926979297424934,4.191882826119259,True
Labilithrix,0.010234094653368997,0.017266754569017436,4.132742980394635,True
Geomicrobium,0.010583751753265015,0.017811019574548285,3.7132076152653535,True
Thalassobaculum,0.011226378155008234,0.018844277617335252,-0.2675390864827389,True
Paenarthrobacter,0.011888063377507165,0.01990418753791276,11.470335260363704,True
Deinococcus,0.011967735568963458,0.019986725899436432,4.0801445257367135,True
Arcticibacter,0.012226010040543427,0.02036636609285462,9.581894401871597,True
Pedosphaera,0.012283254974362607,0.02041005498265302,3.6145442398080725,True
Rhizobacter,0.012755152868817633,0.02108766479317086,9.658303334475745,True
Anaerosalibacter,0.01272391855022226,0.02108766479317086,3.815679634461084,True
Azospirillum,0.01293320289639828,0.02127511876457517,-2.77948965100567,True
Pyxidicoccus,0.012930359100680876,0.02127511876457517,4.082454866815984,True
Legionella,0.013175498572406808,0.021619646036517906,7.320495342729554,True
Dongia,0.013248885446514955,0.021685986626385177,-3.674980401767746,True
UBA6140,0.01342736349960905,0.021923586061396414,9.547177530758248,True
Solitalea,0.013557784927897009,0.022081738818208494,3.6946493140122776,True
Filibacter,0.013759249755518116,0.02235453417069363,4.06872065992864,True
Defluviicoccus,0.014360085782558533,0.02327324247518107,-3.1692157789074673,True
Telluria,0.014467951723486075,0.023390447749518026,4.122560272955133,True
Tuwongella,0.015536487386806358,0.025056393873820058,-1.3554591344286748,True
Coxiella,0.015802557347582867,0.025412353172488748,4.04084071998298,True
Piscibacillus,0.015834444985897242,0.025412353172488748,4.143856669359706,True
Belnapia,0.016353435190507724,0.026181412056822586,4.208443704507663,True
Filomicrobium,0.016543466214273418,0.026421361089786186,3.9435792353645156,True
Bavariicoccus,0.01697185802061597,0.027039909388777986,4.681831726480466,True
Falsibacillus,0.017622948537662535,0.02800942062266171,4.58704933433995,True
JCM 18997,0.018458581964867927,0.029266860079236373,8.60646275069098,True
Lechevalieria,0.01858266829654601,0.02939277821905595,2.533261715790467,True
Citrifermentans,0.0188506933253249,0.029745218724373582,4.271224968067291,True
Symbiobacterium,0.0193250454646394,0.030420765348642884,3.7710027505738317,True
Jahnella,0.019834909299183648,0.03114885517628363,8.498819292291932,True
Fontimonas,0.02007351501866942,0.03144850686258209,4.425412031805036,True
Aquicella,0.0201802582305098,0.03154064112987042,4.559459592864008,True
Pseudofulvimonas,0.02042454297899165,0.03184679924212442,4.370436018258221,True
Actinotalea,0.020527096164020535,0.03185572942435262,4.615712359539911,True
Verrucosispora,0.02050532208067074,0.03185572942435262,4.820858479676056,True
Limnohabitans,0.02102621429154614,0.03255352706785261,8.624221821142354,True
Algoriphagus,0.021419627158721786,0.033084776221687644,10.149058271660408,True
Pseudolabrys,0.021735690413723252,0.03349434260475386,-2.4241114745252905,True
Actimicrobium,0.022135023876028597,0.03403001334211873,4.611973022865898,True
Tundrisphaera,0.022886721821094386,0.03510364325939419,4.398329452999635,True
1959-1,0.023306136998608694,0.035663809639731446,3.9410697652380584,True
Hydrogenophaga,0.02641959074061912,0.04033431718637443,9.424623935880037,True
Hirschia,0.026588131691318666,0.04049766354835112,-2.766216009289444,True
Parablastomonas,0.027270300361261265,0.04144077976376423,1.2457874087327896,True
possible genus 04,0.02797999659716834,0.04242128516344878,6.79276807516661,True
Herbinix,0.028275328347611137,0.042770496672938224,4.063656295568878,True
Neochlamydia,0.02870524719325723,0.0433212216815671,4.460684649577849,True
Haladaptatus,0.029163184519480526,0.04391161421926359,4.1014946436241395,True
Nostoc,0.029370793610879506,0.04412324702273679,5.027603225660408,True
Janthinobacterium,0.031232947013111082,0.04681384768707766,8.197852161635863,True
Kitasatospora,0.032124010995711355,0.048039998261768344,4.993950686367456,True
Gordonia,0.033121769695074105,0.04941978335455501,4.705705066356997,True
Planomonospora,0.03349083897007764,0.04985740281065857,-0.49584543056202873,True
Methylophaga,0.033632566528497894,0.04995536969695624,5.223078004274367,True
Pontibaca,0.03426081703475356,0.05067177130212948,4.465394241524494,False
Actinoalloteichus,0.034268903084266895,0.05067177130212948,4.953270800845013,False
Methylobacillus,0.034377096097192014,0.05071777854697835,9.339800069464806,False
Melghirimyces,0.035753444066229975,0.05263034943082622,7.07881461085692,False
Ferrovibrio,0.03664733600550597,0.05377019862357555,-2.4630481047254467,False
Flavitalea,0.036691214562287876,0.05377019862357555,7.7723850953542915,False
Nonomuraea,0.036927862080896746,0.05399674055384458,-0.765267507887785,False
Phyllobacterium,0.03771736916353046,0.055028888934818276,9.90187047168898,False
Clostridium sensu stricto 8,0.03829497812794848,0.05574799913316393,-3.0060466157729158,False
Sedimentibacter,0.03848357443429009,0.055898878538107905,4.58951365532613,False
Clostridium sensu stricto 1,0.03995037549285777,0.05790164553810664,-0.41869910450170006,False
Rhodovastum,0.040111207582617554,0.058006977119477686,4.645777519005657,False
Paracoccus,0.04088063357053521,0.058990037038184576,2.720180453106336,False
Porphyrobacter,0.04170120385662073,0.060042433561611465,8.469044419401914,False
Taibaiella,0.04360405521249524,0.06264512735768966,7.866219700712643,False
Brevundimonas,0.04446567159500297,0.06374381679632234,1.8750452998934124,False
Shinella,0.04465962430444874,0.06388267998332015,1.780571766042419,False
Candidatus Alysiosphaera,0.045031744607382296,0.06427524501444154,-3.059864829132527,False
Pelagibacterium,0.04611635053555738,0.06568086288397566,4.982731715845803,False
Rugamonas,0.04655697292166885,0.06616520125800886,5.2895411200012905,False
Nakamurella,0.04723239212178975,0.06698041813822771,3.422685623598975,False
Nocardiopsis,0.0477104788338179,0.06751289262935951,8.680936083258683,False
Euzebya,0.04921669636888938,0.06949482019469788,4.473386289724912,False
Pseudonocardia,0.051961053992260205,0.07321279127817391,-0.32517927706337474,False
JGI 0001001-H03,0.052416770583207074,0.07369708342681677,-2.6586079872470547,False
Methylobacterium-Methylorubrum,0.05294207143532014,0.07420862744941105,-3.395427213816844,False
Rheinheimera,0.053118941532937086,0.07420862744941105,5.3115485374970985,False
Povalibacter,0.05301578584527489,0.07420862744941105,4.452730447788376,False
Ureibacillus,0.05377786225022128,0.07496998593357118,4.932040332979015,False
Chelatococcus,0.05424766667201213,0.07546504158601265,0.9043877494838908,False
BIyi10,0.05628170124550616,0.07812945025220054,8.63371111642577,False
Enterococcus,0.056769519589001526,0.07831099347916773,5.7260168139953445,False
Kroppenstedtia,0.05674395414565335,0.07831099347916773,4.863222880045389,False
Catellatospora,0.05667503825488602,0.07831099347916773,8.271509238323892,False
Luteibacter,0.058440496868074746,0.08044737853387694,5.018608270425129,False
Incertae Sedis,0.059669454915236037,0.08196764370401945,5.2121923640739665,False
Parapedobacter,0.06052619003360577,0.08297131883773458,4.7488914578431425,False
Cryptosporangium,0.06257352502149378,0.0855995415054946,-1.9144045719977365,False
Roseimaritima,0.06522552199980867,0.0890423101159214,4.556574460599612,False
Sphaerisporangium,0.06611843186429997,0.09007438543832169,5.0055399987456495,False
Ferruginibacter,0.06669216819282536,0.09066827824561795,7.470131536515268,False
Alterococcus,0.0684246187657735,0.09283175082036901,4.660249994112735,False
Oerskovia,0.06856997401891964,0.09283753684043028,5.125281340148073,False
Ensifer,0.07066188163294519,0.09547334315087873,-3.777874185960277,False
Actinopolymorpha,0.0722409705279768,0.09740688239223101,8.070985201294175,False
Limnochorda,0.07288313865892071,0.09807046814501419,4.755218817736514,False
Verrucomicrobium,0.07303119968245737,0.09807046814501419,7.911024968267163,False
Fluviicola,0.07566599697801167,0.10140168230454517,8.022542249298484,False
Caldalkalibacillus,0.0766822686202993,0.10255474136617262,4.741764533627964,False
Planomicrobium,0.07927828013197846,0.10581157875627147,10.902242918589375,False
Tunicatimonas,0.08232315027351474,0.10965310299589615,7.319043757367943,False
Paucibacter,0.08480376540456615,0.11272904572970611,6.037202852188963,False
Candidatus Omnitrophus,0.08583471120558797,0.11386943542999373,4.9318973884657815,False
Ellin6055,0.09036434755287125,0.11963730521084362,-3.008073414170332,False
Romboutsia,0.092401996428524,0.12208938483929475,4.863712301950829,False
Thiobacillus,0.0925949199267834,0.12209911284934565,5.5326553594775065,False
Anaerocolumna,0.09408289190639124,0.12381308574881086,7.669243272814886,False
Pseudoduganella,0.09488073855392523,0.12461382428838882,8.114880268054137,False
Aureimonas,0.09538521762454602,0.12502683903775155,-0.13948812208754222,False
Advenella,0.09748331932932079,0.12752291077274966,5.407376119506626,False
Williamsia,0.09850296942150714,0.12860109896696767,5.542016874567103,False
Leucobacter,0.10050404829661301,0.13095378966172547,2.8272595075798743,False
Halocella,0.1051807510401252,0.1367765497715462,4.748168823919366,False
Fictibacillus,0.10741087286122553,0.13940109337807968,7.604486046778384,False
Aetherobacter,0.10852682346024871,0.1405721453481174,7.795499330331174,False
Actinomadura,0.11010200538214983,0.1423322584311485,0.9395895366798602,False
Pseudenhygromyxa,0.1111250849404307,0.14337314880549687,5.3949076261821265,False
Caldicoprobacter,0.12042397974626574,0.15506649446779425,5.230571400138467,False
Prosthecobacter,0.12136234531336136,0.15596957659412455,5.538198294117549,False
Candidatus Berkiella,0.1221131832171095,0.15631515834623516,5.010238810861653,False
Chryseobacterium,0.12213393813036857,0.15631515834623516,8.560813392162434,False
Turicibacter,0.12234393092448496,0.15631515834623516,5.257568694399503,False
DSSF69,0.12398840672629918,0.157994149741154,1.6634759597859785,False
Labrys,0.12413826051090672,0.157994149741154,-0.9232099685792942,False
Lysinimonas,0.12495503107882802,0.1587266611001329,4.7493811192887625,False
Cellulomonas,0.1278809803691925,0.1621304144179743,8.574405847991738,False
Rubrivirga,0.12816260346223393,0.16217498668874986,4.929383097281212,False
Desulfohalotomaculum,0.1301119789071107,0.1643256854527425,4.824309698498512,False
Phenylobacterium,0.1309442761257034,0.16506002622741922,-2.3636027511247217,False
Citrobacter,0.13121603406186236,0.16508632966100464,6.729226515913754,False
Asticcacaulis,0.13221492663559686,0.16602561398134108,-0.4647543833513041,False
Armatimonas,0.13269081844032093,0.1663058257785356,3.0223124249202216,False
